date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2019-11-16T20:00:00,Saturday,Minnesota Timberwolves,105,Houston Rockets,125,17732.0,,
2019-11-16T20:30:00,Saturday,Dallas Mavericks,110,Toronto Raptors,102,17732.0,,
2019-11-16T20:30:00,Saturday,San Antonio Spurs,116,Portland Trail Blazers,121,17732.0,,
2019-11-16T22:30:00,Saturday,Los Angeles Clippers,150,Atlanta Hawks,101,17732.0,,
2019-11-17T15:00:00,Sunday,Cleveland Cavaliers,95,Philadelphia 76ers,114,17732.0,,
2019-11-17T15:30:00,Sunday,Sacramento Kings,100,Boston Celtics,99,17732.0,,
2019-11-17T18:00:00,Sunday,Memphis Grizzlies,114,Denver Nuggets,131,17732.0,,
2019-11-17T18:00:00,Sunday,Orlando Magic,125,Washington Wizards,121,17732.0,,
2019-11-17T19:00:00,Sunday,New Orleans Pelicans,108,Golden State Warriors,100,17732.0,,
2019-11-17T21:30:00,Sunday,Los Angeles Lakers,122,Atlanta Hawks,101,17732.0,,
2019-11-18T19:00:00,Monday,New York Knicks,123,Cleveland Cavaliers,105,17732.0,,
2019-11-18T19:30:00,Monday,Brooklyn Nets,86,Indiana Pacers,115,17732.0,,
2019-11-18T19:30:00,Monday,Toronto Raptors,132,Charlotte Hornets,96,17732.0,,
2019-11-18T20:00:00,Monday,Chicago Bulls,101,Milwaukee Bucks,115,17732.0,,
2019-11-18T20:00:00,Monday,Houston Rockets,132,Portland Trail Blazers,108,17732.0,,
2019-11-18T20:30:00,Monday,Dallas Mavericks,117,San Antonio Spurs,110,17732.0,,
2019-11-18T21:00:00,Monday,Phoenix Suns,85,Boston Celtics,99,17732.0,,
2019-11-18T21:00:00,Monday,Utah Jazz,102,Minnesota Timberwolves,112,17732.0,,
2019-11-18T22:30:00,Monday,Los Angeles Clippers,90,Oklahoma City Thunder,88,17732.0,,
2019-11-19T20:00:00,Tuesday,Memphis Grizzlies,95,Golden State Warriors,114,17732.0,,
2019-11-19T20:00:00,Tuesday,New Orleans Pelicans,115,Portland Trail Blazers,104,17732.0,,
2019-11-19T22:00:00,Tuesday,Sacramento Kings,120,Phoenix Suns,116,17732.0,,
2019-11-19T22:30:00,Tuesday,Los Angeles Lakers,112,Oklahoma City Thunder,107,17732.0,,
2019-11-20T19:00:00,Wednesday,Philadelphia 76ers,109,New York Knicks,104,17732.0,,
2019-11-20T19:00:00,Wednesday,Washington Wizards,138,San Antonio Spurs,132,17732.0,,
2019-11-20T19:30:00,Wednesday,Atlanta Hawks,127,Milwaukee Bucks,135,17732.0,,
2019-11-20T19:30:00,Wednesday,Brooklyn Nets,101,Charlotte Hornets,91,17732.0,,
2019-11-20T19:30:00,Wednesday,Dallas Mavericks,142,Golden State Warriors,94,17732.0,,
2019-11-20T19:30:00,Wednesday,Miami Heat,124,Cleveland Cavaliers,100,17732.0,,
2019-11-20T19:30:00,Wednesday,Toronto Raptors,113,Orlando Magic,97,17732.0,,
2019-11-20T20:00:00,Wednesday,Chicago Bulls,109,Detroit Pistons,89,17732.0,,
2019-11-20T20:00:00,Wednesday,Minnesota Timberwolves,95,Utah Jazz,103,17732.0,,
2019-11-20T21:00:00,Wednesday,Denver Nuggets,105,Houston Rockets,95,17732.0,,
2019-11-20T22:00:00,Wednesday,Los Angeles Clippers,107,Boston Celtics,104,17732.0,OT,
2019-11-21T20:00:00,Thursday,Milwaukee Bucks,137,Portland Trail Blazers,129,17732.0,,
2019-11-21T22:30:00,Thursday,Phoenix Suns,121,New Orleans Pelicans,124,17732.0,,
2019-11-22T19:00:00,Friday,Detroit Pistons,128,Atlanta Hawks,103,17732.0,,
2019-11-22T19:00:00,Friday,Washington Wizards,125,Charlotte Hornets,118,17732.0,,
2019-11-22T19:30:00,Friday,Brooklyn Nets,116,Sacramento Kings,97,17732.0,,
2019-11-22T20:00:00,Friday,Chicago Bulls,108,Miami Heat,116,17732.0,,
2019-11-22T20:00:00,Friday,Oklahoma City Thunder,127,Los Angeles Lakers,130,17732.0,,
2019-11-22T20:00:00,Friday,Philadelphia 76ers,115,San Antonio Spurs,104,17732.0,,
2019-11-22T20:30:00,Friday,Dallas Mavericks,143,Cleveland Cavaliers,101,17732.0,,
2019-11-22T21:00:00,Friday,Denver Nuggets,96,Boston Celtics,92,17732.0,,
2019-11-22T21:00:00,Friday,Utah Jazz,113,Golden State Warriors,109,17732.0,,
2019-11-22T22:30:00,Friday,Los Angeles Clippers,122,Houston Rockets,119,17732.0,,
2019-11-23T17:00:00,Saturday,Minnesota Timberwolves,98,Phoenix Suns,100,17732.0,,
2019-11-23T19:00:00,Saturday,Charlotte Hornets,115,Chicago Bulls,116,17732.0,,
2019-11-23T19:00:00,Saturday,Indiana Pacers,111,Orlando Magic,106,17732.0,,
2019-11-23T19:30:00,Saturday,New York Knicks,104,San Antonio Spurs,111,17732.0,,
2019-11-23T19:30:00,Saturday,Philadelphia 76ers,113,Miami Heat,86,17732.0,,
2019-11-23T19:30:00,Saturday,Atlanta Hawks,116,Toronto Raptors,119,17732.0,,
2019-11-23T20:00:00,Saturday,Cleveland Cavaliers,110,Portland Trail Blazers,104,17732.0,,
2019-11-23T20:00:00,Saturday,Memphis Grizzlies,108,Los Angeles Lakers,109,17732.0,,
2019-11-23T20:30:00,Saturday,Milwaukee Bucks,104,Detroit Pistons,90,17732.0,,
2019-11-23T21:00:00,Saturday,Utah Jazz,128,New Orleans Pelicans,120,17732.0,,
2019-11-24T15:30:00,Sunday,Houston Rockets,123,Dallas Mavericks,137,17732.0,,
2019-11-24T18:00:00,Sunday,New York Knicks,101,Brooklyn Nets,103,17732.0,,
2019-11-24T18:00:00,Sunday,Washington Wizards,106,Sacramento Kings,113,17732.0,,
2019-11-24T20:00:00,Sunday,Denver Nuggets,116,Phoenix Suns,104,17732.0,,
2019-11-24T21:00:00,Sunday,Los Angeles Clippers,134,New Orleans Pelicans,109,17732.0,,
2019-11-25T19:00:00,Monday,Cleveland Cavaliers,106,Brooklyn Nets,108,17732.0,,
2019-11-25T19:00:00,Monday,Detroit Pistons,103,Orlando Magic,88,17732.0,,
2019-11-25T19:00:00,Monday,Indiana Pacers,126,Memphis Grizzlies,114,17732.0,,
2019-11-25T19:30:00,Monday,Miami Heat,117,Charlotte Hornets,100,17732.0,,
2019-11-25T19:30:00,Monday,Toronto Raptors,101,Philadelphia 76ers,96,17732.0,,
2019-11-25T19:30:00,Monday,Atlanta Hawks,113,Minnesota Timberwolves,125,17732.0,,
2019-11-25T19:30:00,Monday,Boston Celtics,103,Sacramento Kings,102,17732.0,,
2019-11-25T20:00:00,Monday,Milwaukee Bucks,122,Utah Jazz,118,17732.0,,
2019-11-25T20:00:00,Monday,Chicago Bulls,94,Portland Trail Blazers,117,17732.0,,
2019-11-25T20:30:00,Monday,San Antonio Spurs,104,Los Angeles Lakers,114,17732.0,,
2019-11-25T22:30:00,Monday,Golden State Warriors,97,Oklahoma City Thunder,100,17732.0,,
2019-11-26T20:30:00,Tuesday,Dallas Mavericks,99,Los Angeles Clippers,114,17732.0,,
2019-11-26T21:00:00,Tuesday,Denver Nuggets,117,Washington Wizards,104,17732.0,,
2019-11-27T19:00:00,Wednesday,Boston Celtics,121,Brooklyn Nets,110,17732.0,,
2019-11-27T19:00:00,Wednesday,Charlotte Hornets,102,Detroit Pistons,101,17732.0,,
2019-11-27T19:00:00,Wednesday,Cleveland Cavaliers,104,Orlando Magic,116,17732.0,,
2019-11-27T19:00:00,Wednesday,Indiana Pacers,121,Utah Jazz,102,17732.0,,
2019-11-27T19:00:00,Wednesday,Philadelphia 76ers,97,Sacramento Kings,91,17732.0,,
2019-11-27T19:30:00,Wednesday,Toronto Raptors,126,New York Knicks,98,17732.0,,
2019-11-27T20:00:00,Wednesday,Houston Rockets,117,Miami Heat,108,17732.0,,
2019-11-27T20:00:00,Wednesday,Memphis Grizzlies,119,Los Angeles Clippers,121,17732.0,,
2019-11-27T20:00:00,Wednesday,Milwaukee Bucks,111,Atlanta Hawks,102,17732.0,,
2019-11-27T20:30:00,Wednesday,San Antonio Spurs,101,Minnesota Timberwolves,113,17732.0,,
2019-11-27T21:00:00,Wednesday,Phoenix Suns,132,Washington Wizards,140,17732.0,,
2019-11-27T21:30:00,Wednesday,New Orleans Pelicans,110,Los Angeles Lakers,114,17732.0,,
2019-11-27T22:00:00,Wednesday,Portland Trail Blazers,136,Oklahoma City Thunder,119,17732.0,,
2019-11-27T22:30:00,Wednesday,Golden State Warriors,104,Chicago Bulls,90,17732.0,,
2019-11-29T12:00:00,Friday,Brooklyn Nets,112,Boston Celtics,107,17732.0,,
2019-11-29T19:00:00,Friday,Detroit Pistons,107,Charlotte Hornets,110,17732.0,,
2019-11-29T19:00:00,Friday,Orlando Magic,83,Toronto Raptors,90,17732.0,,
2019-11-29T19:30:00,Friday,Cleveland Cavaliers,110,Milwaukee Bucks,119,17732.0,,
2019-11-29T19:30:00,Friday,New York Knicks,95,Philadelphia 76ers,101,17732.0,,
2019-11-29T20:00:00,Friday,Indiana Pacers,105,Atlanta Hawks,104,17732.0,OT,
2019-11-29T20:00:00,Friday,Memphis Grizzlies,94,Utah Jazz,103,17732.0,,
2019-11-29T20:00:00,Friday,Miami Heat,122,Golden State Warriors,105,17732.0,,
2019-11-29T20:00:00,Friday,Oklahoma City Thunder,109,New Orleans Pelicans,104,17732.0,,
2019-11-29T20:30:00,Friday,San Antonio Spurs,107,Los Angeles Clippers,97,17732.0,,
2019-11-29T21:00:00,Friday,Phoenix Suns,113,Dallas Mavericks,120,17732.0,,
2019-11-29T22:00:00,Friday,Portland Trail Blazers,107,Chicago Bulls,103,17732.0,,
2019-11-29T22:30:00,Friday,Los Angeles Lakers,125,Washington Wizards,103,17732.0,,
2019-11-30T17:00:00,Saturday,Sacramento Kings,100,Denver Nuggets,97,17732.0,OT,
2019-11-30T19:00:00,Saturday,Philadelphia 76ers,119,Indiana Pacers,116,17732.0,,
2019-11-30T20:00:00,Saturday,Milwaukee Bucks,137,Charlotte Hornets,96,17732.0,,
2019-11-30T20:00:00,Saturday,Houston Rockets,158,Atlanta Hawks,111,17732.0,,
2019-12-01T15:00:00,Sunday,Brooklyn Nets,106,Miami Heat,109,17026.0,,
2019-12-01T15:30:00,Sunday,New York Knicks,104,Boston Celtics,113,17026.0,,
2019-12-01T15:30:00,Sunday,Minnesota Timberwolves,107,Memphis Grizzlies,115,17026.0,,
